STORE NUMBER,ZIPCODE
1666,31643
5092,29615
2528,33572
364,34997
2362,34951
711,34606
19,31522
2406,34239
448,36116
179,32257
1691,32218
505,32413
5607,28110
627,33613
5420,28677
2442,33617
652,34602
2444,33570
446,36108
183,32210
343,33168
699,33713
5273,29607
5538,37379
5275,29928
526,35475
5759,29206
2526,34135
5704,29607
1712,33803
726,33956
261,33415
108,32208
610,33777
541,32547
322,33405
2482,34231
2503,33543
663,33880
1647,31791
2402,34135
333,33410
2493,33912
5271,29223
520,36701
564,36695
5195,29615
472,39301
5605,28052
5761,31406
5645,29485
2432,33634
129,32080
5587,29532
2322,34785
2263,32118
1643,32424
631,33803
2337,32159
2484,34608
507,32571
2547,34432
5603,28739
570,36535
5723,29033
2383,32792
366,33126
40,32073
671,33710
2467,34432
5031,30442
509,35043
442,35906
387,33177
5746,31322
2545,32163
2341,32720
2478,34690
80,32256
272,33458
503,36110
303,33012
28,32340
198,32064
1662,31082
2392,32809
2400,34285
1405,70056
5359,37411
5277,29621
2463,33873
5637,29728
221,33415
377,33351
5626,29625
2299,32835
5437,28655
461,35173
5107,29588
2404,34209
1625,31701
72,32216
5153,29414
2430,34652
5172,29654
5555,29646
697,33615
9,32256
160,32609
743,34116
713,33838
5218,29223
5178,29323
5525,29906
457,36301
2318,32927
5199,29640
1630,31023
1561,70506
1626,30453
629,33801
753,34602
101,31768
2364,32730
1649,31705
326,33321
1590,70769
5016,29605
238,33458
2425,34683
488,32413
2505,33594
589,32446
2522,33913
2480,33917
535,32506
1622,31642
385,33032
5349,30742
1534,39429
728,33905
5803,29138
1588,70047
97,31520
1504,70458
665,34232
528,35476
549,36608
751,34142
5534,30474
2261,32778
1609,31063
5237,28212
2320,33513
2379,34747
2276,32812
611,33549
306,33009
5441,29556
249,33155
2451,33607
2354,32958
2356,32746
5624,29680
5582,28164
1670,31021
5542,30906
1672,29210
5620,28722
345,33441
5744,30427
591,36608
141,32223
1689,32209
1443,70433
2507,33556
2343,32720
5214,29340
608,33525
1624,31705
545,31709
2499,33547
777,33592
2238,34771
